model,granularity,top_k,forgetting_ppl,acquisition_ppl,forgetting_log_ppl,acquisition_log_ppl
llama,per-head,32,69.65747,52.88396,4.24359,3.96810
llama,per-head,64,70.90139,50.98340,4.26129,3.93150
llama,per-head,128,71.70210,53.12194,4.27252,3.97259
llama,per-head,256,71.03126,51.58702,4.26312,3.94327
llama,per-head,baseline,48.05854,108.47199,3.87242,4.68649
llama,per-layer,32,64.27817,54.83123,4.16322,4.00426
llama,per-layer,64,67.48531,53.24266,4.21191,3.97486
llama,per-layer,128,72.36987,52.60020,4.28179,3.96272
llama,per-layer,256,75.17284,51.38827,4.31979,3.93941
llama,per-layer,baseline,48.05854,108.47199,3.87242,4.68649
llama,global,32,59.51093,55.56536,4.08616,4.01756
llama,global,64,62.25134,55.54258,4.13118,4.01715
llama,global,128,70.21065,51.33280,4.25150,3.93833
llama,global,256,75.46734,51.29945,4.32370,3.93768
llama,global,baseline,48.05854,108.47199,3.87242,4.68649
llama,shared,baseline_avg,48.05854,108.47199,3.87242,4.68649
