model,granularity,top_k,forgetting_ppl,acquisition_ppl,forgetting_log_ppl,acquisition_log_ppl
qwen,per-head,32,27.69772,29.50501,3.32135,3.38456
qwen,per-head,64,31.58903,31.33984,3.45281,3.44489
qwen,per-head,128,30.64103,28.69865,3.42234,3.35685
qwen,per-head,256,25.85877,24.92472,3.25265,3.21586
qwen,per-head,baseline,20.92559,48.15802,3.04097,3.87449
qwen,per-layer,32,22.98795,26.79271,3.13497,3.28813
qwen,per-layer,64,23.87328,25.24353,3.17276,3.22857
qwen,per-layer,128,26.26533,27.04873,3.26825,3.29764
qwen,per-layer,256,26.15185,25.74653,3.26392,3.24830
qwen,per-layer,baseline,20.92559,48.15802,3.04097,3.87449
qwen,global,32,20.48883,25.76199,3.01988,3.24890
qwen,global,64,23.43499,28.43469,3.15423,3.34761
qwen,global,128,23.56353,27.89981,3.15970,3.32862
qwen,global,256,23.03166,25.58817,3.13687,3.24213
qwen,global,baseline,20.92559,48.15802,3.04097,3.87449
qwen,shared,baseline_avg,20.92559,48.15802,3.04097,3.87449
