scope,granularity,top_t,batch_size,qa_ppl,mt_ppl
baseline,per_head,,32,5.62983,33.32864
baseline,per_layer,,32,5.62983,33.32864
key-value,per_head,64.0,32,17.97201,6.43699
key-value,per_head,128.0,32,18.66191,6.122
key-value,per_head,256.0,32,18.61669,5.73054
key-value,per_head,512.0,32,17.37859,5.6183
key-value,per_layer,64.0,32,16.31389,6.5074
key-value,per_layer,128.0,32,16.57713,6.38527
key-value,per_layer,256.0,32,16.72448,5.84993
key-value,per_layer,512.0,32,17.18004,5.69483
value-only,per_head,64.0,32,6.61384,6.90502
value-only,per_head,128.0,32,7.74275,6.55025
value-only,per_head,256.0,32,10.56809,5.98991
value-only,per_head,512.0,32,13.44888,5.91862
value-only,per_head,64.0,64,5.49678,7.35363
value-only,per_head,128.0,64,6.14548,6.90621
value-only,per_head,256.0,64,7.50403,6.28757
value-only,per_head,512.0,64,9.97434,5.95669
value-only,per_layer,64.0,32,6.71091,7.01205
value-only,per_layer,128.0,32,7.56079,6.71625
value-only,per_layer,256.0,32,9.9034,6.14482
value-only,per_layer,512.0,32,13.46456,5.97973
value-only,per_layer,64.0,64,5.53704,7.5666
value-only,per_layer,128.0,64,6.23505,7.19013
value-only,per_layer,256.0,64,7.52922,6.56379
value-only,per_layer,512.0,64,9.84014,5.9726
