sweep,granularity,top_k,forgetting_ppl,learning_ppl
value_only_bsize32,per-layer,64,6.71091,7.01205
value_only_bsize32,per-layer,128,7.56079,6.71625
value_only_bsize32,per-layer,256,9.90340,6.14482
value_only_bsize32,per-layer,512,13.46456,5.97973
value_only_bsize32,per-layer,baseline,5.62983,33.32864
value_only_bsize32,per-head,64,6.61384,6.90502
value_only_bsize32,per-head,128,7.74275,6.55025
value_only_bsize32,per-head,256,10.56809,5.98991
value_only_bsize32,per-head,512,13.44888,5.91862
value_only_bsize32,per-head,baseline,5.62983,33.32864
key_value_bsize32,per-layer,64,16.31389,6.50740
key_value_bsize32,per-layer,128,16.57713,6.38527
key_value_bsize32,per-layer,256,16.72448,5.84993
key_value_bsize32,per-layer,512,17.18004,5.69483
key_value_bsize32,per-layer,baseline,5.62983,33.32864
key_value_bsize32,per-head,64,17.97201,6.43699
key_value_bsize32,per-head,128,18.66191,6.12200
key_value_bsize32,per-head,256,18.61669,5.73054
key_value_bsize32,per-head,512,17.37859,5.61830
key_value_bsize32,per-head,baseline,5.62983,33.32864
