model,granularity,top_k,forgetting_ppl,acquisition_ppl,forgetting_log_ppl,acquisition_log_ppl
qwen,per-head,32,14.48216,8.07284,2.67292,2.08851
qwen,per-head,64,16.07109,8.89285,2.77702,2.18525
qwen,per-head,128,19.95293,10.08121,2.99338,2.31067
qwen,per-head,256,18.90710,9.29670,2.93954,2.22966
qwen,per-head,baseline,8.05835,40.56005,2.08671,3.70278
qwen,per-layer,32,13.15498,8.39604,2.57680,2.12776
qwen,per-layer,64,14.79196,7.99317,2.69408,2.07859
qwen,per-layer,128,16.78885,8.46371,2.82071,2.13579
qwen,per-layer,256,18.49373,8.74726,2.91743,2.16874
qwen,per-layer,baseline,7.77686,36.00047,2.05115,3.58353
qwen,global,32,11.11675,8.76976,2.40845,2.17131
qwen,global,64,11.96794,8.19824,2.48223,2.10392
qwen,global,128,14.06288,8.59823,2.64354,2.15156
qwen,global,256,19.23173,9.07972,2.95656,2.20604
qwen,global,baseline,8.23909,38.89494,2.10889,3.66086
qwen,shared,baseline_avg,8.02477,38.48515,2.08253,3.65027
