granularity,top_t,n_snapshots,n_tokens,per_step_bound,cumulative_coverage,forgetting_qa_ppl
global,32,19,511,0.0626,0.0861,13.4620
global,64,19,511,0.1252,0.1722,14.2980
global,128,19,511,0.2505,0.3209,16.3260
global,256,19,511,0.5010,0.5793,19.4070
per_layer,32,19,511,0.0626,0.1357,15.2604
per_layer,64,19,511,0.1252,0.2457,16.3328
per_layer,128,19,511,0.2505,0.4134,16.3916
per_layer,256,19,511,0.5010,0.6624,18.8947
per_head,32,19,511,0.0626,0.1679,16.2565
per_head,64,19,511,0.1252,0.2791,17.5583
per_head,128,19,511,0.2505,0.4396,18.0082
per_head,256,19,511,0.5010,0.6650,19.5768
