granularity,top_t,n_snapshots,step_first,step_last,mid_step,median_jaccard,mean_jaccard,min_jaccard,max_jaccard,n_consecutive_pairs
global,32,19,0,540,270,1.000,0.964,0.641,1.000,18
global,64,19,0,540,270,0.969,0.946,0.600,1.000,18
global,128,19,0,540,270,0.977,0.947,0.730,1.000,18
global,256,19,0,540,270,0.962,0.949,0.822,0.977,18
per_layer,32,19,0,540,270,0.847,0.796,0.378,0.897,18
per_layer,64,19,0,540,270,0.848,0.799,0.435,0.887,18
per_layer,128,19,0,540,270,0.856,0.820,0.561,0.893,18
per_layer,256,19,0,540,270,0.893,0.877,0.749,0.917,18
per_head,32,19,0,540,270,0.741,0.689,0.263,0.782,18
per_head,64,19,0,540,270,0.752,0.711,0.374,0.784,18
per_head,128,19,0,540,270,0.787,0.761,0.541,0.812,18
per_head,256,19,0,540,270,0.861,0.853,0.768,0.878,18
