arm	k	split	loss	ckpt	wandb_url
phase1	0	QA	2.23880672454834	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/e0vhi8lj
phase1	0	MT	3.7825491428375244	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/hpvm38hv
armB	16	MT	3.434339761734009	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-015-8f0f132c.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/7mmtfjgl
armB	16	QA	2.8909239768981934	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-015-8f0f132c.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6fshn9e3
armB	1	MT	3.7951605319976807	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-000-f13f88b1.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/u9sc3x57
armB	1	QA	2.3356497287750244	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-000-f13f88b1.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kjoqveir
armB	4	MT	3.265904664993286	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-003-196cbc77.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/5l0arz37
armB	4	QA	2.2603511810302734	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-003-196cbc77.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/w81xzc9u
armB	8	MT	2.997771978378296	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-007-85188ea2.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/n0n2pxqz
armB	8	QA	2.336148500442505	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-007-85188ea2.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/2fydu25k
armB	12	MT	3.043623208999634	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-22-52-30-continual_am_sparse/03b02326-28dc-4eeb-973b-13bd100b5c3c/cache-after-doc-011-17a88020.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/msw9td8c
