tag	doc_index	rope	synth	run_dir	cache	secs
A_doc000	0	default	/tmp/perdoc/synth/doc000.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-03-continual_am_sparse/3b88e5fe-0f75-410e-bccb-b52156c418a3	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-03-continual_am_sparse/3b88e5fe-0f75-410e-bccb-b52156c418a3/cache-after-doc-000-ae4e8fb7.pt	32
A_doc009	9	default	/tmp/perdoc/synth/doc009.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-36-continual_am_sparse/26143677-d8eb-439f-9de0-9cd1dd9a9998	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-15-36-continual_am_sparse/26143677-d8eb-439f-9de0-9cd1dd9a9998/cache-after-doc-000-f77cecfb.pt	41
A_doc011	11	default	/tmp/perdoc/synth/doc011.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-16-17-continual_am_sparse/a03304bb-6915-4fa3-8423-bb501474e061	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-16-17-continual_am_sparse/a03304bb-6915-4fa3-8423-bb501474e061/cache-after-doc-000-cfcb19a9.pt	43
A_doc013	13	default	/tmp/perdoc/synth/doc013.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-02-continual_am_sparse/b015c98c-2ffc-4db7-a140-3d247d1d361c	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-02-continual_am_sparse/b015c98c-2ffc-4db7-a140-3d247d1d361c/cache-after-doc-000-152f42ae.pt	41
A_doc015	15	default	/tmp/perdoc/synth/doc015.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	35
A_doc015shuf	15	default	/tmp/perdoc/synth/doc015_shuf.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-18-15-continual_am_sparse/a8b85325-6d0b-43fb-9f83-be6f83a65a0d	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-18-15-continual_am_sparse/a8b85325-6d0b-43fb-9f83-be6f83a65a0d/cache-after-doc-000-af07b880.pt	37
B_doc000	0	5000000	/tmp/perdoc/synth/doc000.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-18-53-continual_am_sparse/8e6416de-b6db-4d02-a3ef-eeb7d5af38f6	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-18-53-continual_am_sparse/8e6416de-b6db-4d02-a3ef-eeb7d5af38f6/cache-after-doc-000-ae4e8fb7.pt	36
B_doc009	9	5000000	/tmp/perdoc/synth/doc009.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-19-29-continual_am_sparse/3e4d5cb7-c32b-4f53-9431-035b8b277bba	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-19-29-continual_am_sparse/3e4d5cb7-c32b-4f53-9431-035b8b277bba/cache-after-doc-000-f77cecfb.pt	36
B_doc011	11	5000000	/tmp/perdoc/synth/doc011.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-20-05-continual_am_sparse/052ab382-a975-49a8-af98-2594d05662ff	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-20-05-continual_am_sparse/052ab382-a975-49a8-af98-2594d05662ff/cache-after-doc-000-cfcb19a9.pt	34
B_doc013	13	5000000	/tmp/perdoc/synth/doc013.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-20-39-continual_am_sparse/a6160a8c-1fc4-4dce-9160-c27ace74c7c4	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-20-39-continual_am_sparse/a6160a8c-1fc4-4dce-9160-c27ace74c7c4/cache-after-doc-000-152f42ae.pt	35
B_doc015	15	5000000	/tmp/perdoc/synth/doc015.parquet	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-21-14-continual_am_sparse/94e861bf-cee7-4349-a838-224a968678e2	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-21-14-continual_am_sparse/94e861bf-cee7-4349-a838-224a968678e2/cache-after-doc-000-af07b880.pt	38
