k	split	loss	ckpt	wandb_url
0	QA	2.23880672454834	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/f90cgg0r
0	MT	3.7825491428375244	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4h8b5hkz
16	QA	2.1771795749664307	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6cqrab39
16	MT	2.5524158477783203	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/36wuqeay
1	QA	2.2298452854156494	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-000-ae4e8fb7.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/2hkk8b59
1	MT	3.7445480823516846	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-000-ae4e8fb7.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/wvmjwu42
2	QA	2.062385082244873	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-001-07b4743b.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/d26nk9c0
2	MT	3.3668813705444336	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-001-07b4743b.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/lzpsadub
4	QA	2.113368272781372	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-003-71f51767.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ief3ithn
4	MT	3.0337772369384766	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-003-71f51767.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/v5qj9yr2
8	QA	2.0471396446228027	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/r12likc7
8	MT	2.709873914718628	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/tapr4qes
12	QA	2.0421719551086426	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/72wad0ua
12	MT	2.435236930847168	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/r494hs63
3	QA	2.047234296798706	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-002-38a6f58f.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/fg7360x6
3	MT	3.0848138332366943	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-002-38a6f58f.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/riks31g0
5	QA	2.0924136638641357	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-004-a11f66ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/v4avn22c
5	MT	2.964536190032959	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-004-a11f66ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/a4bd11e6
6	QA	2.0712413787841797	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-005-0c806aca.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/py5u2azu
6	MT	2.8944528102874756	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-005-0c806aca.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1f75a9bo
7	QA	2.0596625804901123	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-006-b03a4aa0.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/oia098es
