arm	selector	top_t	k	split	loss	ckpt	wandb_url
C0_control	tfidf	32	8	QA	1.9463961124420166	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/o1bkd6qd
C0_control	tfidf	32	8	MT	2.32890248298645	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/roonxhbi
C0_control	tfidf	32	10	QA	1.968939185142517	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ueoo9me0
C0_control	tfidf	32	10	MT	2.319589376449585	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/obswk5jh
C0_control	tfidf	32	12	QA	1.9560121297836304	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/n678mlcg
C0_control	tfidf	32	12	MT	2.2720184326171875	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4r0wsj7u
C0_control	tfidf	32	16	QA	2.034916400909424	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ldolmoyj
C0_control	tfidf	32	16	MT	2.330503463745117	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-17-36-continual_am_sparse/c28044a8-c9d7-452c-a18e-44117e5f6f7b/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ubfv52bj
R32	redundancy	32	8	QA	1.930572748184204	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-52-51-continual_am_sparse/ef58d93f-2b0f-47b8-98a9-2fcde6f59484/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/op7xuqpg
R32	redundancy	32	8	MT	2.5448672771453857	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-07-52-51-continual_am_sparse/ef58d93f-2b0f-47b8-98a9-2fcde6f59484/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/qt8anbjx
