arm	offset	k	split	loss	ckpt	wandb_url
keys	0	12	QA	1.9560121297836304	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-13-05-continual_am_sparse/955753b0-2246-4f18-8200-729b831687e5/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ipym8ux4
keys	0	12	MT	2.2720184326171875	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-13-05-continual_am_sparse/955753b0-2246-4f18-8200-729b831687e5/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3x1ieyas
keys	0	16	QA	2.034916400909424	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-13-05-continual_am_sparse/955753b0-2246-4f18-8200-729b831687e5/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/lnmxefxy
keys	0	16	MT	2.330503463745117	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-13-05-continual_am_sparse/955753b0-2246-4f18-8200-729b831687e5/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/w44sq2sa
keys	1000	12	QA	1.9397201538085938	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-40-40-continual_am_sparse/92b047bb-8822-4f50-8720-5dc2fcb26a4f/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/zs4nu08j
keys	1000	12	MT	2.269538164138794	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-40-40-continual_am_sparse/92b047bb-8822-4f50-8720-5dc2fcb26a4f/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/fw5bii98
keys	1000	16	QA	1.996092677116394	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-40-40-continual_am_sparse/92b047bb-8822-4f50-8720-5dc2fcb26a4f/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4nggvfdu
keys	1000	16	MT	2.306238889694214	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-40-40-continual_am_sparse/92b047bb-8822-4f50-8720-5dc2fcb26a4f/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3dp3a4d0
keys	2000	12	QA	1.9446364641189575	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-06-27-continual_am_sparse/5d1785dc-3bc8-40d4-b177-12b7a20f1743/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ihuornza
keys	2000	12	MT	2.262629747390747	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-06-27-continual_am_sparse/5d1785dc-3bc8-40d4-b177-12b7a20f1743/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/vj60oi5l
keys	2000	16	QA	2.0024614334106445	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-06-27-continual_am_sparse/5d1785dc-3bc8-40d4-b177-12b7a20f1743/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/nn0m6ooi
keys	2000	16	MT	2.290109395980835	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-06-27-continual_am_sparse/5d1785dc-3bc8-40d4-b177-12b7a20f1743/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/m7pic7u4
control	1000	12	QA	2.0522191524505615	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1e85etm3
control	1000	12	MT	2.448606491088867	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/h7056va3
control	1000	16	QA	2.138103485107422	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1g77x6zo
