arm	k	split	loss	wandb_url
control	k16	QA	2.159724712371826	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/5y8564b0
onpolicy	k16	QA	2.1398370265960693	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/bew1snvg
onpolicy_keys	k16	QA	2.0931923389434814	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ets09osm
control	k16	MT	2.529625177383423	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/on1yodjz
onpolicy	k16	MT	2.5085017681121826	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/zrsj2weq
onpolicy_keys	k16	MT	2.381277084350586	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/zfwnt8s8
onpolicy	_k12	QA	2.0890250205993652	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/20iify57
onpolicy	_k12	MT	2.493834972381592	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/tnaej4kk
onpolicy_keys	_k12	QA	2.1439507007598877	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/p6yvy0dn
onpolicy_keys	_k12	MT	2.4483301639556885	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9jg9x2sz
onpolicy	_k8	QA	1.954670786857605	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/s22ur71n
onpolicy	_k8	MT	2.4732847213745117	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/z5y9j2ne
onpolicy_keys	_k8	QA	1.9478557109832764	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4hmp6o2l
onpolicy_keys	_k8	MT	2.3246867656707764	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/x0c5bicy
