arm	selector	offset	k	split	loss	ckpt	wandb_url
R_off0	redundancy	0	8	QA	1.930572748184204	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/mhvl4259
R_off0	redundancy	0	8	MT	2.5448672771453857	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/mxe3f35y
R_off0	redundancy	0	10	QA	1.9247082471847534	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/x8pfso55
R_off0	redundancy	0	10	MT	2.522254705429077	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ewnsmbaj
R_off0	redundancy	0	12	QA	1.9499645233154297	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/v8iz74t1
R_off0	redundancy	0	12	MT	2.478079080581665	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/pqm02yet
R_off0	redundancy	0	16	QA	1.9893748760223389	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6lznljft
R_off0	redundancy	0	16	MT	2.4386465549468994	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-04-34-continual_am_sparse/858e2a0b-7f5b-4073-99b7-1f303eb60513/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/uu109xw0
R_off1000	redundancy	1000	8	QA	1.8623285293579102	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/909kv4gn
R_off1000	redundancy	1000	8	MT	2.497554063796997	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/61vwa7rb
R_off1000	redundancy	1000	10	QA	1.8493647575378418	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/rppyenk3
R_off1000	redundancy	1000	10	MT	2.43268084526062	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ytiyqvsq
R_off1000	redundancy	1000	12	QA	1.8850138187408447	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/8tmqzt4b
R_off1000	redundancy	1000	12	MT	2.43871808052063	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/b1kyady0
R_off1000	redundancy	1000	16	QA	1.9300405979156494	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/v6r0u5z8
R_off1000	redundancy	1000	16	MT	2.4440369606018066	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-13-24-07-continual_am_sparse/37bd2eb3-dff9-4a2f-b1c3-de1fc5c128c1/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6ttzstar
