arm	offset	k	split	loss	ckpt	wandb_url	ckpt_in_log	pkg
control	1000	12	MT	2.448606491088867	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/sknou0at	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	12	MT	2.5163300037384033	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6lii92y2	1	/tmp/amsnap_verifyoptima/cartridges
control	0	10	MT	2.4083292484283447	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/0llm01sx	1	/tmp/amsnap_verifyoptima/cartridges
control	0	10	QA	1.9674913883209229	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kjyc8tsk	1	/tmp/amsnap_verifyoptima/cartridges
keys	0	10	MT	2.319589376449585	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-13-05-continual_am_sparse/955753b0-2246-4f18-8200-729b831687e5/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/hzwyd410	1	/tmp/amsnap_verifyoptima/cartridges
keys	0	10	QA	1.968939185142517	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-13-05-continual_am_sparse/955753b0-2246-4f18-8200-729b831687e5/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ozhvbknc	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	10	MT	2.491347312927246	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/licjcw6d	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	10	QA	2.0084433555603027	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4hqameh5	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	10	MT	2.472822427749634	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ulp0v6uk	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	10	QA	1.9783906936645508	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/2jcnkcfo	1	/tmp/amsnap_verifyoptima/cartridges
keys	1000	10	MT	2.273444652557373	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-40-40-continual_am_sparse/92b047bb-8822-4f50-8720-5dc2fcb26a4f/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/uq2kjv7q	1	/tmp/amsnap_verifyoptima/cartridges
keys	1000	10	QA	1.911603569984436	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-04-40-40-continual_am_sparse/92b047bb-8822-4f50-8720-5dc2fcb26a4f/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/7cv19o38	1	/tmp/amsnap_verifyoptima/cartridges
keys	2000	10	MT	2.303954601287842	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-06-27-continual_am_sparse/5d1785dc-3bc8-40d4-b177-12b7a20f1743/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1zadp2vz	1	/tmp/amsnap_verifyoptima/cartridges
keys	2000	10	QA	1.9478639364242554	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-06-27-continual_am_sparse/5d1785dc-3bc8-40d4-b177-12b7a20f1743/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/bapte7kh	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	9	MT	2.5033955574035645	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-008-6f413175.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/2b37y3t7	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	9	MT	2.4538910388946533	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-008-6f413175.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/n3qbnzn3	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	11	MT	2.4789345264434814	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-010-aba1a026.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9x4qgp1o	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	11	MT	2.471754550933838	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-010-aba1a026.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/nt4szdo1	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	8	MT	2.492708444595337	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9mpw4a4f	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	8	MT	2.439911365509033	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4gyia0s6	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	13	MT	2.50688099861145	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-012-01bdc15a.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/v92hdud8	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	13	MT	2.5320236682891846	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-012-01bdc15a.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/fz5brwv0	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	7	MT	2.480165719985962	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-006-b03a4aa0.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/8i6o8pe2	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	7	MT	2.434037685394287	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-006-b03a4aa0.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/7jhz7il1	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	14	MT	2.501429796218872	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-013-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/erzfoz5c	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	14	MT	2.536113977432251	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-013-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/z4z8qkk5	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	6	MT	2.467552661895752	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-005-0c806aca.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ndym0lsb	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	6	MT	2.4107038974761963	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-005-0c806aca.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/988ms64r	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	15	MT	2.465484619140625	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-014-8d059cfa.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/93k9870i	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	15	MT	2.5560152530670166	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-014-8d059cfa.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3j9ucde4	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	5	MT	2.4545605182647705	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-004-a11f66ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ath6956a	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	5	MT	2.4469118118286133	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-004-a11f66ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ki6gd53s	1	/tmp/amsnap_verifyoptima/cartridges
control	1000	4	MT	2.5260438919067383	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-05-37-31-continual_am_sparse/a2f9458c-31a0-4bfb-8b60-da98da202ba6/cache-after-doc-003-71f51767.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/h2t11i9m	1	/tmp/amsnap_verifyoptima/cartridges
control	2000	4	MT	2.5352654457092285	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-06-02-01-continual_am_sparse/727e44ac-de50-44df-bf3c-877ad3e65317/cache-after-doc-003-71f51767.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/w26focni	1	/tmp/amsnap_verifyoptima/cartridges
